question_id,category,question,golden_answer,source_document,chunk_id,similarity_score,confidence_score,keywords_used,coverage_status,reason_if_missing,missing_topic,possible_document_required
1,General,Where is Chhatrapati Shahu Ji Maharaj University (CSJMU) located?,"Chhatrapati Shahu Ji Maharaj University (CSJMU) is located in Kalyanpur, Kanpur, Uttar Pradesh, India.",about_csjm.txt,chunk_0,0.95,0.98,"['chhatrapati', 'shahu', 'maharaj', 'located']",Covered,,,
2,General,What is the full name of UIET Kanpur?,The full name of UIET Kanpur is University Institute of Engineering and Technology.,about_csjm.txt,chunk_1,0.96,0.99,['full'],Covered,,,
3,General,When was CSJMU established?,CSJMU (formerly Kanpur University) was established in 1966.,about_csjm.txt,chunk_1,0.92,0.95,['established'],Covered,,,
4,General,What are the major schools and institutes in CSJMU?,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most esteemed and rapidly advancing state universities in the country. Recently designated as a Tier-I University/Institution by the University Grants Comm...",about_csjm.txt,chunk_0,0.83,0.85,"['major', 'schools', 'institutes']",Covered,,,
5,General,Does CSJMU have an official helpline or contact email?,Contact Us: Phone: 8090803220 Website: www.innovation.csjmu.ac.in Email: infocsjmu@csjmu.ac.in,innovation_foundation.txt,chunk_12,0.77,0.8,"['official', 'helpline', 'contact', 'email']",Covered,,,
6,Admissions,What is the general admission process at CSJMU?,GUIDELINES FOR ADMISSION TO UNIVERSITY CAMPUS/AFFILIATED COLLEGES  1. The detailed information of the admission procedure will be displayed on the University website (www.csjmu.ac.in). Candidates are advised to check the University website regularly for updates.   2. All admissions to different programmes running in the University campus or affiliated colleges of CSJM University will be made through the Admission Portal available on the Universit...,guidelines_for_admission.txt,chunk_0,0.95,0.95,"['general', 'admission', 'process']",Covered,,,
7,Admissions,How can a student apply online for CSJMU admissions?,GUIDELINES FOR ADMISSION TO UNIVERSITY CAMPUS/AFFILIATED COLLEGES  1. The detailed information of the admission procedure will be displayed on the University website (www.csjmu.ac.in). Candidates are advised to check the University website regularly for updates.   2. All admissions to different programmes running in the University campus or affiliated colleges of CSJM University will be made through the Admission Portal available on the Universit...,guidelines_for_admission.txt,chunk_0,0.86,0.88,"['student', 'apply', 'online', 'admissions']",Covered,,,
8,Admissions,What documents are required during CSJMU admission verification?,GUIDELINES FOR ADMISSION TO UNIVERSITY CAMPUS/AFFILIATED COLLEGES  1. The detailed information of the admission procedure will be displayed on the University website (www.csjmu.ac.in). Candidates are advised to check the University website regularly for updates.   2. All admissions to different programmes running in the University campus or affiliated colleges of CSJM University will be made through the Admission Portal available on the Universit...,guidelines_for_admission.txt,chunk_0,0.95,0.95,"['documents', 'required', 'admission', 'verification']",Covered,,,
9,Admissions,Is JEE Main score required for B.Tech admission at UIET Kanpur?,"6. For admission to the B. Tech programme, where admission will be on the basis of JEE Mains Rank, candidates need to register for counselling on the B.Tech Admission Portal. All details related to admission to the B. Tech programme will be available on the B. Tech Admission Portal.",guidelines_for_admission.txt,chunk_7,0.83,0.85,"['jee', 'main', 'score', 'required', 'b.tech', 'admission']",Covered,,,
10,Admissions,What is the lateral entry admission process for B.Tech?,"B.Tech. in Electronics and Communication Engineering (Lateral Entry) (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 3 Years. It has As per AICTE Norms seats available. The eligibility criteria is Passed 3-year Diploma from Institution recognized by UPBTE in any branch of Engg / 3-year BSc with Mathematics as a subject in 10+2. The annual fee is Rs. 90,200. The admission process is Through CSJMU Admission Portal fo...",course_eligibility.json,chunk_8,0.95,0.95,"['lateral', 'entry', 'admission', 'process', 'b.tech']",Covered,,,
11,Admissions,Are board recognitions required for admission eligibility?,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['board', 'recognitions', 'required', 'admission', 'eligibility']",Missing,No document in the knowledge base addresses this specific question regarding Admissions.,Admissions Information,csjmu_admissions_handbook.pdf
12,Admissions,Where can I find the list of approved boards for CSJMU admission?,GUIDELINES FOR ADMISSION TO UNIVERSITY CAMPUS/AFFILIATED COLLEGES  1. The detailed information of the admission procedure will be displayed on the University website (www.csjmu.ac.in). Candidates are advised to check the University website regularly for updates.   2. All admissions to different programmes running in the University campus or affiliated colleges of CSJM University will be made through the Admission Portal available on the Universit...,guidelines_for_admission.txt,chunk_0,0.86,0.88,"['find', 'approved', 'boards', 'admission']",Covered,,,
13,Admissions,Who is the admission coordinator for B.Tech Computer Science?,The Admission Coordinator for B.Tech (School of Engineering & Technology) is Dr. Abhishek Kumar Chandra. Contact: 9450326388.,admission_coordinators.json,chunk_1,0.93,0.96,"['admission', 'coordinator', 'b.tech', 'computer', 'science']",Covered,,,
14,Admissions,Who is the admission coordinator for MBA programs?,The Admission Coordinator for MBA programs is Dr. Prashant Trivedi (school of business management). Contact: 9936164861.,admission_coordinators.json,chunk_1,0.93,0.96,"['admission', 'coordinator', 'mba', 'programs']",Covered,,,
15,Admissions,Who is the admission coordinator for Law courses?,The Admission Coordinator for Law courses is Mr. Ashok Kumar / Mr. Rishi Srivastava (school of legal studies). Contact: 7985729456 / 8957867952.,admission_coordinators.json,chunk_1,0.93,0.96,"['admission', 'coordinator', 'law', 'courses']",Covered,,,
16,Admissions,Who is the admission coordinator for Pharmacy courses?,"Dr. Meenakshi Gupta is the Admission Coordinator for the D. Pharm programme at School of Pharmaceutical Sciences, CSJM University. His Contact is : 9369542416.",admission_coordinators.json,chunk_37,0.77,0.8,"['admission', 'coordinator', 'pharmacy', 'courses']",Covered,,,
17,Admissions,What is the contact number of the B.Tech admission coordinator?,The Admission Coordinator for B.Tech (School of Engineering & Technology) is Dr. Abhishek Kumar Chandra. Contact: 9450326388.,admission_coordinators.json,chunk_1,0.93,0.96,"['contact', 'number', 'b.tech', 'admission', 'coordinator']",Covered,,,
18,Admissions,What is the email address of the MCA admission coordinator?,The Admission Coordinator for MCA is Mrs. Mamta Mayee Panda. Contact: 7307916101.,admission_coordinators.json,chunk_1,0.93,0.96,"['email', 'address', 'mca', 'admission', 'coordinator']",Covered,,,
19,Admissions,Are NRI or foreign students eligible for admission at CSJMU?,GUIDELINES FOR ADMISSION TO UNIVERSITY CAMPUS/AFFILIATED COLLEGES  1. The detailed information of the admission procedure will be displayed on the University website (www.csjmu.ac.in). Candidates are advised to check the University website regularly for updates.   2. All admissions to different programmes running in the University campus or affiliated colleges of CSJM University will be made through the Admission Portal available on the Universit...,guidelines_for_admission.txt,chunk_0,0.81,0.83,"['nri', 'foreign', 'students', 'eligible', 'admission']",Covered,,,
20,Admissions,What is the reservation policy for SC/ST/OBC candidates in CSJMU?,GUIDELINES FOR ADMISSION TO UNIVERSITY CAMPUS/AFFILIATED COLLEGES  1. The detailed information of the admission procedure will be displayed on the University website (www.csjmu.ac.in). Candidates are advised to check the University website regularly for updates.   2. All admissions to different programmes running in the University campus or affiliated colleges of CSJM University will be made through the Admission Portal available on the Universit...,guidelines_for_admission.txt,chunk_0,0.77,0.8,"['reservation', 'policy', 'obc', 'candidates']",Covered,,,
21,Eligibility,What is the eligibility criteria for B.Tech Computer Science & Engineering?,"Eligibility for B.Tech. in Computer Science and Engineering (AICTE Approved): Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM. Duration: 4 Years, Seats: 180* + EWS, Annual Fee: Rs. 1,15,200, Admission Process: Through CSJM University B.Tech Admission Portal based on JEE Mains Rank.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'criteria', 'b.tech', 'computer', 'science', 'engineering']",Covered,,,
22,Eligibility,What is the eligibility for B.Tech Information Technology?,"M.Tech. in Computer Science and Engineering (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 2 Years. It has 30 + EWS seats available. The eligibility criteria is B.Tech./B.E. in CSE/CS/IT/CS & Tech/MCA (with BCA/BSc in Phy, Maths/Statistics/Info Tech/Information Science) or MSc in Computer Sc./IT/Statistics with BSc in Phy, Maths/Statistics/CS/IT/Info Sc.. The annual fee is Rs. 70,200. The admission process is Thro...",course_eligibility.json,chunk_11,0.83,0.85,"['eligibility', 'b.tech', 'technology']",Covered,,,
23,Eligibility,What is the eligibility for B.Tech Electronics & Communication Engineering?,"Eligibility for B.Tech. in Electronics and Communication Engineering (AICTE Approved): Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM. Duration: 4 Years, Seats: 90* + EWS, Annual Fee: Rs. 90,200, Admission Process: Through CSJM University B.Tech Admission Portal based on JEE Mains Rank.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'b.tech', 'electronics', 'communication', 'engineering']",Covered,,,
24,Eligibility,What is the eligibility criteria for B.Tech Mechanical Engineering?,"Eligibility for B.Tech. in Mechanical Engineering (AICTE Approved): Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM. Duration: 4 Years, Seats: 90* + EWS, Annual Fee: Rs. 90,200, Admission Process: Through CSJM University B.Tech Admission Portal based on JEE Mains Rank.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'criteria', 'b.tech', 'mechanical', 'engineering']",Covered,,,
25,Eligibility,What is the eligibility criteria for B.Tech Chemical Engineering?,"Eligibility for B.Tech. in Chemical Engineering (AICTE Approved): Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM. Duration: 4 Years, Seats: 90* + EWS, Annual Fee: Rs. 90,200, Admission Process: Through CSJM University B.Tech Admission Portal based on JEE Mains Rank.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'criteria', 'b.tech', 'chemical', 'engineering']",Covered,,,
26,Eligibility,What is the eligibility for B.Tech Material Science & Metallurgical Engineering?,"Eligibility for B.Tech in Materials Science and Metallurgical Engineering (AICTE Approved): Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM. Duration: 4 Years, Seats: 60* + EWS, Annual Fee: Rs. 90,200, Admission Process: Through CSJM University B.Tech Admission Portal based on JEE Mains Rank.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'b.tech', 'material', 'science', 'metallurgical', 'engineering']",Covered,,,
27,Eligibility,What is the minimum percentage required in 12th standard for B.Tech admission?,"B.Tech. in Computer Science and Engineering (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 4 Years. It has 180* + EWS seats available. The eligibility criteria is Passed 10+2 with Physics, Chemistry, Mathematics as compulsory subjects. Minimum of 45% marks in PCM. Th...",course_eligibility.json,chunk_1,0.55,0.5,"['minimum', 'percentage', 'required', '12th', 'standard', 'b.tech', 'admission']",Partial,Document provides partial context but lacks complete answer details.,Eligibility Details,csjmu_eligibility_extended_info.pdf
28,Eligibility,What is the eligibility criteria for BCA at CSJMU?,"Eligibility for Bachelor in Computer Application (BCA) (AICTE Approved): Passed 10+2 with Mathematics from a recognized board. Duration: 3 Years, Seats: 360* + EWS, Annual Fee: Rs. 55,200, Admission Process: Through CSJMU Admission Portal for Direct Admissions based on Merit.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'criteria', 'bca']",Covered,,,
29,Eligibility,What is the eligibility criteria for MCA at CSJMU?,"Eligibility for Master of Computer Application (MCA) (AICTE Approved): Relevant undergraduate programme from a recognized University. Must have passed Mathematics at 10+2 level or graduation level. Duration: 2 Years, Seats: 120* + EWS, Annual Fee: Rs. 70,200, Admission Process: Through Screening Test conducted by department.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'criteria', 'mca']",Covered,,,
30,Eligibility,What is the eligibility for MBA at School of Business Management?,"Eligibility for MBA (AICTE Approved): Graduation with minimum 50% aggregate marks. Duration: 2 Years, Seats: 240, Annual Fee: Rs. 90,200, Admission Process: Merit (Group Discussion and P.I. / CAT/SEE/and MAT / as decided by the University).",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'mba', 'school', 'business', 'management']",Covered,,,
31,Eligibility,What is the eligibility for B.Pharm (Bachelor of Pharmacy)?,"B. Pharm (Lateral Entry) is a programme offered by CSJMU. The duration of the course is 3 Years. It has 10 seats available. The eligibility criteria is D. Pharm from PCI approved college. The annual fee is Rs. 1,11,200. The admission process is Merit based / Interview.",course_eligibility.json,chunk_51,0.55,0.5,"['eligibility', 'b.pharm', 'bachelor', 'pharmacy']",Partial,Document provides partial context but lacks complete answer details.,Eligibility Details,csjmu_eligibility_extended_info.pdf
32,Eligibility,What is the eligibility for D.Pharm (Diploma in Pharmacy)?,"B. Pharm (Lateral Entry) is a programme offered by CSJMU. The duration of the course is 3 Years. It has 10 seats available. The eligibility criteria is D. Pharm from PCI approved college. The annual fee is Rs. 1,11,200. The admission process is Merit based / Interview.",course_eligibility.json,chunk_51,0.55,0.5,"['eligibility', 'd.pharm', 'diploma', 'pharmacy']",Partial,Document provides partial context but lacks complete answer details.,Eligibility Details,csjmu_eligibility_extended_info.pdf
33,Eligibility,What is the eligibility criteria for BA LLB (5-Year Integrated)?,"L.L.M. (1 Year) is a programme offered by CSJMU. The duration of the course is 1 Year. It has 120+ EWS seats available. The eligibility criteria is Graduation in any Law (3 year LLB) or Integrated Law program (5 year LLB) with minimum 50% (45% for reserved category, persons with disability). The annual fee is Rs. 1,45,200. The admission process is Merit based.",course_eligibility.json,chunk_77,0.88,0.89,"['eligibility', 'criteria', 'llb', '5-year', 'integrated']",Covered,,,
34,Eligibility,What is the eligibility for LLB (3-Year Program)?,"L.L.M. (1 Year) is a programme offered by CSJMU. The duration of the course is 1 Year. It has 120+ EWS seats available. The eligibility criteria is Graduation in any Law (3 year LLB) or Integrated Law program (5 year LLB) with minimum 50% (45% for reserved category, persons with disability). The annual fee is Rs. 1,45,200. The admission process is Merit based.",course_eligibility.json,chunk_77,0.86,0.88,"['eligibility', 'llb', '3-year', 'program']",Covered,,,
35,Eligibility,What is the eligibility criteria for LLM?,"B.B.A LL.B. (Hons.) is a programme offered by CSJMU. The duration of the course is 5 Years. It has 60+ EWS seats available. The eligibility criteria is Intermediate (10+2), from any stream with minimum 50% marks (5% relaxation for OBC and 10% relaxation for SC/ST). The annual fee is Rs. 71,200. The admission process is Merit based.",course_eligibility.json,chunk_74,0.83,0.85,"['eligibility', 'criteria', 'llm']",Covered,,,
36,Eligibility,What is the eligibility for B.Sc in Biotechnology?,"B.Sc. in Medical Microbiology (B.Sc. MM) is a programme offered by CSJMU. The duration of the course is 3 Years. It has 40 seats available. The eligibility criteria is 10+2 Science pass students with minimum of 50% marks in Physics, Chemistry and Biology (45% for SC/ST). The annual fee is Rs. 57,200. The admission process is Merit Based.",course_eligibility.json,chunk_42,0.83,0.85,"['eligibility', 'b.sc', 'biotechnology']",Covered,,,
37,Eligibility,What is the eligibility for M.Sc in Microbiology?,"B.Sc. in Medical Microbiology (B.Sc. MM) is a programme offered by CSJMU. The duration of the course is 3 Years. It has 40 seats available. The eligibility criteria is 10+2 Science pass students with minimum of 50% marks in Physics, Chemistry and Biology (45% for SC/ST). The annual fee is Rs. 57,200. The admission process is Merit Based.",course_eligibility.json,chunk_42,0.83,0.85,"['eligibility', 'm.sc', 'microbiology']",Covered,,,
38,Eligibility,What is the eligibility for B.Sc Agriculture at School of Advanced Agriculture Sciences?,"M.Sc. Ag. (Agronomy) is a programme offered by CSJMU. The duration of the course is 2 Years. It has 30 seats available. The eligibility criteria is B.Sc. (Hons.) Agriculture / B.Sc. Agriculture. The annual fee is Rs. 51,200. The admission process is Merit Based.",course_eligibility.json,chunk_143,0.8,0.82,"['eligibility', 'b.sc', 'agriculture', 'school', 'advanced', 'agriculture', 'sciences']",Covered,,,
